id,year,year_treated,time_to_treatment,treated,y
E06000001,2004,2017,-13,1,18.6
E06000001,2005,2017,-12,1,18.5
E06000001,2006,2017,-11,1,19.4
E06000001,2007,2017,-10,1,20.1
E06000001,2008,2017,-9,1,20.8
E06000001,2009,2017,-8,1,21.6
E06000001,2010,2017,-7,1,22.8
E06000001,2011,2017,-6,1,24.1
E06000001,2012,2017,-5,1,25
E06000001,2013,2017,-4,1,25.3
E06000001,2014,2017,-3,1,25.3
E06000001,2015,2017,-2,1,25.5
E06000001,2016,2017,-1,1,26.2
E06000001,2017,2017,0,1,26.8
E06000001,2018,2017,1,1,27.8
E06000001,2019,2017,2,1,28.5
E06000001,2020,2017,3,1,29.2
E06000001,2021,2017,4,1,28.9
E06000001,2022,2017,5,1,28.7
E06000002,2004,2017,-13,1,19.8
E06000002,2005,2017,-12,1,19.5
E06000002,2006,2017,-11,1,21
E06000002,2007,2017,-10,1,21.7
E06000002,2008,2017,-9,1,22.5
E06000002,2009,2017,-8,1,23.1
E06000002,2010,2017,-7,1,23.8
E06000002,2011,2017,-6,1,24.1
E06000002,2012,2017,-5,1,24.4
E06000002,2013,2017,-4,1,25
E06000002,2014,2017,-3,1,26
E06000002,2015,2017,-2,1,27.1
E06000002,2016,2017,-1,1,28.1
E06000002,2017,2017,0,1,28.9
E06000002,2018,2017,1,1,29.6
E06000002,2019,2017,2,1,29.9
E06000002,2020,2017,3,1,30.4
E06000002,2021,2017,4,1,30.6
E06000002,2022,2017,5,1,31
E06000003,2004,2017,-13,1,21.1
E06000003,2005,2017,-12,1,21
E06000003,2006,2017,-11,1,21.8
E06000003,2007,2017,-10,1,22.8
E06000003,2008,2017,-9,1,23.9
E06000003,2009,2017,-8,1,24.8
E06000003,2010,2017,-7,1,25.1
E06000003,2011,2017,-6,1,25
E06000003,2012,2017,-5,1,24.8
E06000003,2013,2017,-4,1,24.9
E06000003,2014,2017,-3,1,25.5
E06000003,2015,2017,-2,1,26.2
E06000003,2016,2017,-1,1,26.4
E06000003,2017,2017,0,1,26.3
E06000003,2018,2017,1,1,26.6
E06000003,2019,2017,2,1,27.2
E06000003,2020,2017,3,1,28.2
E06000003,2021,2017,4,1,28.6
E06000003,2022,2017,5,1,28.9
E06000004,2004,2017,-13,1,26.5
E06000004,2005,2017,-12,1,26.4
E06000004,2006,2017,-11,1,28.5
E06000004,2007,2017,-10,1,29.9
E06000004,2008,2017,-9,1,30.6
E06000004,2009,2017,-8,1,31.1
E06000004,2010,2017,-7,1,31.5
E06000004,2011,2017,-6,1,32
E06000004,2012,2017,-5,1,32.7
E06000004,2013,2017,-4,1,33.4
E06000004,2014,2017,-3,1,34.2
E06000004,2015,2017,-2,1,34.6
E06000004,2016,2017,-1,1,34.7
E06000004,2017,2017,0,1,34.7
E06000004,2018,2017,1,1,35.7
E06000004,2019,2017,2,1,37.5
E06000004,2020,2017,3,1,40.1
E06000004,2021,2017,4,1,41.7
E06000004,2022,2017,5,1,42.6
E06000005,2004,2017,-13,1,26.5
E06000005,2005,2017,-12,1,26.5
E06000005,2006,2017,-11,1,25.6
E06000005,2007,2017,-10,1,25.2
E06000005,2008,2017,-9,1,25.1
E06000005,2009,2017,-8,1,25.3
E06000005,2010,2017,-7,1,25.5
E06000005,2011,2017,-6,1,26.2
E06000005,2012,2017,-5,1,26.9
E06000005,2013,2017,-4,1,28.3
E06000005,2014,2017,-3,1,29.5
E06000005,2015,2017,-2,1,30.9
E06000005,2016,2017,-1,1,31.6
E06000005,2017,2017,0,1,31.9
E06000005,2018,2017,1,1,31.2
E06000005,2019,2017,2,1,30.4
E06000005,2020,2017,3,1,29.4
E06000005,2021,2017,4,1,29.3
E06000005,2022,2017,5,1,29.4
E06000006,2004,2017,-13,1,32.4
E06000006,2005,2017,-12,1,32.2
E06000006,2006,2017,-11,1,33.6
E06000006,2007,2017,-10,1,35
E06000006,2008,2017,-9,1,36.8
E06000006,2009,2017,-8,1,38.2
E06000006,2010,2017,-7,1,38.1
E06000006,2011,2017,-6,1,37.4
E06000006,2012,2017,-5,1,36.8
E06000006,2013,2017,-4,1,37.9
E06000006,2014,2017,-3,1,38.4
E06000006,2015,2017,-2,1,38.7
E06000006,2016,2017,-1,1,37.8
E06000006,2017,2017,0,1,37.6
E06000006,2018,2017,1,1,37.8
E06000006,2019,2017,2,1,39
E06000006,2020,2017,3,1,41.2
E06000006,2021,2017,4,1,43.4
E06000006,2022,2017,5,1,44.9
E06000007,2004,1000,-1000,0,25.8
E06000007,2005,1000,-1000,0,25.8
E06000007,2006,1000,-1000,0,27
E06000007,2007,1000,-1000,0,27.9
E06000007,2008,1000,-1000,0,28.3
E06000007,2009,1000,-1000,0,28.2
E06000007,2010,1000,-1000,0,28
E06000007,2011,1000,-1000,0,27.8
E06000007,2012,1000,-1000,0,28.1
E06000007,2013,1000,-1000,0,28.5
E06000007,2014,1000,-1000,0,29.1
E06000007,2015,1000,-1000,0,29.7
E06000007,2016,1000,-1000,0,30.6
E06000007,2017,1000,-1000,0,32
E06000007,2018,1000,-1000,0,33.3
E06000007,2019,1000,-1000,0,34.6
E06000007,2020,1000,-1000,0,36
E06000007,2021,1000,-1000,0,37.2
E06000007,2022,1000,-1000,0,38
E06000008,2004,1000,-1000,0,18.9
E06000008,2005,1000,-1000,0,18.7
E06000008,2006,1000,-1000,0,19.5
E06000008,2007,1000,-1000,0,19.9
E06000008,2008,1000,-1000,0,20.6
E06000008,2009,1000,-1000,0,21.4
E06000008,2010,1000,-1000,0,22.2
E06000008,2011,1000,-1000,0,22.7
E06000008,2012,1000,-1000,0,22.8
E06000008,2013,1000,-1000,0,23.1
E06000008,2014,1000,-1000,0,23.7
E06000008,2015,1000,-1000,0,24.8
E06000008,2016,1000,-1000,0,25.8
E06000008,2017,1000,-1000,0,26.6
E06000008,2018,1000,-1000,0,27.1
E06000008,2019,1000,-1000,0,27.8
E06000008,2020,1000,-1000,0,28.8
E06000008,2021,1000,-1000,0,29.8
E06000008,2022,1000,-1000,0,30.6
E06000009,2004,1000,-1000,0,18.5
E06000009,2005,1000,-1000,0,18.5
E06000009,2006,1000,-1000,0,18.8
E06000009,2007,1000,-1000,0,19
E06000009,2008,1000,-1000,0,19.5
E06000009,2009,1000,-1000,0,20
E06000009,2010,1000,-1000,0,20.7
E06000009,2011,1000,-1000,0,21.3
E06000009,2012,1000,-1000,0,21.6
E06000009,2013,1000,-1000,0,21.9
E06000009,2014,1000,-1000,0,22.4
E06000009,2015,1000,-1000,0,23.5
E06000009,2016,1000,-1000,0,24.6
E06000009,2017,1000,-1000,0,25.6
E06000009,2018,1000,-1000,0,26.5
E06000009,2019,1000,-1000,0,27.4
E06000009,2020,1000,-1000,0,28.4
E06000009,2021,1000,-1000,0,29.2
E06000009,2022,1000,-1000,0,29.7
E06000010,2004,1000,-1000,0,20.1
E06000010,2005,1000,-1000,0,19.9
E06000010,2006,1000,-1000,0,23
E06000010,2007,1000,-1000,0,25.3
E06000010,2008,1000,-1000,0,27.2
