"Table A3: Current Price (smoothed) GVA (B) per hour worked (£); Local Authority District,  2004 - 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Including UK figures for comparison purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAD_Code,LAD_Name,Pounds_2004,Pounds_2005,Pounds_2006,Pounds_2007,Pounds_2008,Pounds_2009,Pounds_2010,Pounds_2011,Pounds_2012,Pounds_2013,Pounds_2014,Pounds_2015,Pounds_2016,Pounds_2017,Pounds_2018,Pounds_2019,Pounds_2020,Pounds_2021,Pounds_2022,,,,,,,,,,,,,
UKX,UK less Extra-Regio,25.5,25.4,26.8,27.8,28.6,29.2,29.8,30.2,30.7,31.3,32.0,32.7,33.4,34.3,35.4,36.6,38.1,39.1,39.7,,,,,,,,,,,,,
E06000001,Hartlepool,18.6,18.5,19.4,20.1,20.8,21.6,22.8,24.1,25.0,25.3,25.3,25.5,26.2,26.8,27.8,28.5,29.2,28.9,28.7,,,,,,,,,,,,,
E06000002,Middlesbrough,19.8,19.5,21.0,21.7,22.5,23.1,23.8,24.1,24.4,25.0,26.0,27.1,28.1,28.9,29.6,29.9,30.4,30.6,31.0,,,,,,,,,,,,,
E06000003,Redcar and Cleveland,21.1,21.0,21.8,22.8,23.9,24.8,25.1,25.0,24.8,24.9,25.5,26.2,26.4,26.3,26.6,27.2,28.2,28.6,28.9,,,,,,,,,,,,,
E06000004,Stockton-on-Tees,26.5,26.4,28.5,29.9,30.6,31.1,31.5,32.0,32.7,33.4,34.2,34.6,34.7,34.7,35.7,37.5,40.1,41.7,42.6,,,,,,,,,,,,,
E06000005,Darlington,26.5,26.5,25.6,25.2,25.1,25.3,25.5,26.2,26.9,28.3,29.5,30.9,31.6,31.9,31.2,30.4,29.4,29.3,29.4,,,,,,,,,,,,,
E06000006,Halton,32.4,32.2,33.6,35.0,36.8,38.2,38.1,37.4,36.8,37.9,38.4,38.7,37.8,37.6,37.8,39.0,41.2,43.4,44.9,,,,,,,,,,,,,
E06000007,Warrington,25.8,25.8,27.0,27.9,28.3,28.2,28.0,27.8,28.1,28.5,29.1,29.7,30.6,32.0,33.3,34.6,36.0,37.2,38.0,,,,,,,,,,,,,
E06000008,Blackburn with Darwen,18.9,18.7,19.5,19.9,20.6,21.4,22.2,22.7,22.8,23.1,23.7,24.8,25.8,26.6,27.1,27.8,28.8,29.8,30.6,,,,,,,,,,,,,
E06000009,Blackpool,18.5,18.5,18.8,19.0,19.5,20.0,20.7,21.3,21.6,21.9,22.4,23.5,24.6,25.6,26.5,27.4,28.4,29.2,29.7,,,,,,,,,,,,,
